ir,red,heart_rate,gsr,cortisol
183285,130645,71,944,18.87
182269,130091,81,960,18.31
181966,130001,74,960,18.55
181989,129981,78,944,18.35
180550,129600,78,944,18.55
182206,130063,73,918,18.35
182311,130155,84,933,18.42
181943,130045,77,922,18.48
181248,129809,75,907,18.91
181009,129704,80,939,18.97
180805,129670,72,921,18.26
181310,129984,73,914,19.07
181936,130087,111,933,19.04
181431,129990,75,913,18.69
181145,129892,71,912,19.08
181134,129765,102,892,18.23
181353,129888,83,896,18.93
181455,129918,74,901,18.7
180865,129736,79,897,18.85
182383,130188,77,892,20.29
181361,129895,76,888,18.85
182585,130090,74,900,18.83
181932,129959,80,887,18.38
181264,129803,73,864,18.16
181248,129676,59,960,17.15
180526,129428,75,919,18.53
181568,129672,76,912,18.34
181129,129559,82,881,20.56
181171,129367,74,887,20.58
179605,129033,76,893,16.61
179169,128844,71,886,18.39
179398,129107,77,880,18.69
178786,128791,75,873,18.84
178733,128883,69,870,18.53
178407,128754,74,874,18.37
180136,129462,72,870,18.17
180825,129736,78,880,18.32
181656,129985,83,883,18.76
183269,130276,81,909,18.72
181405,129634,80,911,18.29
180473,129386,78,894,18.96
181263,129620,79,909,18.77
179293,129071,57,879,18.34
170929,129202,75,817,18.18
179737,129478,71,847,18.7
180773,130022,74,849,18.9
182105,130504,77,854,18.36
183074,130889,81,853,18.4
182256,130634,71,863,18.5
182653,130509,69,865,17.81
181153,130208,80,899,18.86
181717,130168,76,907,19.1
179986,129581,82,890,18.47
179352,129413,73,900,18.52
179586,129285,70,897,19.09
181243,129920,73,945,19.15
179512,129558,82,942,19.19
179898,129497,75,954,18.8
180164,129528,77,905,18.25
179877,129423,75,909,18.7
179705,129455,81,895,20.48
178243,129001,81,907,18.35
178267,129065,74,912,18.55
176696,128301,82,901,18.65
178882,129166,71,946,18.48
180957,129859,83,926,18.26
175135,128137,72,960,18.85
179984,129792,72,1003,18.65
174436,127975,80,1071,18.57
174781,128317,87,1108,19.03
175334,128431,90,1169,19.0
178397,129308,89,1257,19.23
176932,128873,87,1264,19.04
177368,128896,90,1249,19.6
179922,129918,83,1222,18.94
177547,129051,84,1188,19.29
177878,129043,86,1195,19.58
176199,128378,77,1203,18.94
178283,129215,90,1184,19.62
175277,126832,90,1345,19.73
171152,126689,87,1277,19.4
177186,128640,79,1198,18.92
178804,129129,80,1185,19.33
179307,129347,83,1167,19.34
179151,129255,78,1137,18.99
178773,129149,88,1125,18.81
179546,129423,75,1086,19.04
182059,130366,79,1111,18.81
182847,130819,76,1123,18.82
177319,128822,82,1190,19.22
184873,130987,84,1360,19.41
185518,130923,89,1383,19.77
185161,130472,95,1456,19.81
185343,130453,75,1114,18.56
185153,130327,79,1095,18.68
184943,130069,83,1183,19.24
181894,129394,92,1328,18.94
183039,129535,92,1345,19.89
181621,129390,93,1323,19.65
182212,129559,72,1237,18.77
181709,129370,74,938,18.9
182450,129618,81,948,19.09
181559,129299,74,852,18.71
181439,129325,78,1139,19.25
180391,128831,83,1174,19.1
180047,128724,89,1168,18.79
180658,129051,80,1185,18.92
180134,128930,85,1170,19.56
179937,128850,76,1168,19.37
179047,128917,86,1182,19.61
179356,129060,83,1161,18.91
179808,129276,77,1159,19.24
178837,128940,89,1168,19.37
179209,129179,83,1173,18.88
179980,130269,84,1303,19.52
174086,125379,79,1110,19.48
32929,19264,90,1209,19.2
191445,135606,80,1162,18.79
192666,136299,112,2209,20.87
193823,137568,107,2235,20.66
194629,138055,107,2343,20.1
196243,139099,118,2378,20.56
196480,139427,116,2325,20.16
197114,139625,106,2318,20.9
194302,138869,107,2351,20.55
195007,139249,114,2295,20.59
194526,139188,108,2257,20.72
194149,139101,116,2261,20.14
192105,138511,103,2279,20.17
191783,138499,113,2288,19.97
192367,138582,116,2297,20.05
188766,137202,112,2282,20.28
187049,136807,104,2279,20.91
186823,136505,116,2369,21.04
181834,134986,114,2368,20.31
187871,136934,113,2363,20.95
185708,136309,117,2400,20.25
186367,136569,113,2375,20.14
186700,136530,106,2385,21.04
185947,136612,118,2391,20.63
185686,136434,109,2384,20.83
188989,137720,109,2368,20.54
192150,138650,111,2353,21.15
190326,138078,107,2087,20.44
190270,137996,101,2043,20.63
194563,139624,103,1964,20.45
190615,138104,99,2032,20.05
193233,138918,107,2037,20.34
191335,138432,109,2015,20.36
186586,137061,87,1419,19.74
188339,137046,93,1639,20.09
182148,135016,107,2016,20.05
177692,133401,81,976,18.62
176877,133055,104,2032,20.14
176073,133012,94,1600,19.77
177164,133573,102,1867,20.15
178141,134180,106,2288,20.2
180864,135132,101,1856,20.21
176098,133442,97,1535,19.87
177274,134343,104,2256,20.58
175994,133658,95,1914,20.05
175999,133986,96,2015,19.81
177791,134238,83,985,18.56
181874,135295,84,1168,19.78
179580,134582,83,1309,19.14
180086,134627,99,1807,19.53
178325,134048,98,1877,20.52
180452,134626,94,1799,19.96
180744,134550,104,1795,20.41
179076,133957,96,1790,20.39
179922,133452,103,1891,20.42
181081,134691,98,2027,20.13
179943,134535,105,2093,20.24
176994,133330,106,1953,20.14
178181,134048,108,2096,20.27
178574,134578,113,2132,19.59
177206,133792,106,2091,20.34
177642,134230,102,2218,20.9
177527,133996,109,2291,20.5
177358,134181,113,2351,20.96
178102,134460,115,2345,20.98
177604,134457,115,2361,20.36
177138,134006,109,2224,20.68
174392,132724,83,1067,18.82
180886,135552,124,3117,21.13
175279,133345,127,2992,21.08
177889,134500,124,2803,20.31
176523,133877,139,3360,21.29
176561,133874,147,3838,21.66
174463,133544,129,3136,20.82
175226,133710,130,3283,20.78
174254,133267,131,3339,20.78
175958,133828,139,3309,21.65
179833,134677,146,3850,21.4
173288,130180,60,112,14.15
180780,134099,61,4,7.76
180524,133709,59,185,15.89
173384,130759,65,182,15.41
162143,124642,55,212,15.88
155301,120863,65,187,15.41
153950,120957,56,255,15.81
164604,126665,65,159,15.0
168012,128088,54,120,14.49
165695,126550,53,113,14.32
164777,126192,60,128,14.34
163030,125115,33,127,14.82
162676,125152,57,123,14.81
161516,124318,62,112,14.11
174243,131543,51,54,12.97
178328,133488,53,66,13.75
177416,132379,64,144,14.49
177415,132549,58,166,15.14
183818,134988,65,128,15.06
183259,134848,51,11,9.66
182047,134356,54,135,15.11
182910,134933,81,230,16.29
183535,135259,55,170,15.44
179454,133178,55,104,14.21
182537,134366,67,224,15.98
176995,131428,50,60,13.07
177968,131947,55,149,14.85
177483,131606,61,162,14.77
177302,131553,64,154,15.42
177432,131769,65,146,15.38
177400,131918,43,142,14.76
177772,132431,62,155,15.27
178391,132560,61,149,14.78
175404,131315,55,155,14.74
173681,130512,63,169,15.0
172932,130324,53,206,15.22
175733,131603,65,212,15.78
180705,133392,77,663,18.0
180111,133131,68,689,18.28
179470,132906,75,609,17.47
178524,132772,55,265,14.91
178012,132821,62,270,16.53
178757,133131,62,227,15.36
179574,133753,61,445,17.42
2098,1165,75,896,18.51
141295,120139,77,975,18.66
3717,4556,75,704,17.76
183043,132427,73,560,17.5
181880,131957,81,795,17.95
174799,129217,65,365,17.26
178836,129019,61,413,17.12
171816,128263,72,656,17.66
171921,128279,67,735,18.27
174722,129134,72,722,18.27
172475,128363,66,720,18.63
168424,126900,79,838,18.08
172494,128354,72,778,18.54
176911,129623,79,656,18.34
180525,130773,65,496,17.61
181389,130946,59,390,15.3
181762,131017,54,224,15.68
181759,130883,62,455,17.21
181912,130970,74,564,16.64
182939,131335,77,639,18.06
184025,131797,72,663,18.01
182593,130935,78,763,18.58
182852,131047,70,752,18.25
181917,130638,79,752,18.42
182269,130810,76,740,18.25
182279,130883,63,486,17.25
180599,130328,67,570,17.91
180484,130396,63,593,17.91
180581,130635,72,590,17.96
178727,130077,70,576,17.28
179851,130634,66,642,17.76
180463,130904,74,750,17.83
180362,130832,67,720,17.76
179403,130720,76,699,17.97
180021,130891,68,726,18.39
178508,130452,69,720,18.5
179425,130693,70,722,17.88
176896,129918,65,709,18.03
177859,130215,72,721,18.08
176559,130042,76,713,17.91
175246,129605,73,724,18.04
174596,129443,66,759,18.3
177714,130412,71,799,17.15
177704,130671,72,809,18.03
176194,130085,76,793,18.76
174528,129622,68,781,18.27
175809,129967,68,756,20.05
175653,129705,74,698,20.45
169609,127601,68,790,18.68
165072,125646,81,832,18.48
166537,125955,71,784,18.59
166641,126386,77,703,18.35
169464,127424,75,739,18.04
174124,129427,74,868,18.35
172779,128758,70,836,18.54
170152,127940,69,835,18.6
170549,128322,69,821,17.95
179809,131622,75,822,18.86
171644,129397,74,807,18.3
170370,128745,81,796,17.89
169818,128623,74,787,18.69
171071,129047,80,780,18.76
168218,127810,74,775,15.92
0,133713,87,457,17.19
181804,133436,71,476,17.23
183562,133961,65,493,17.07
181828,133455,65,542,17.3
183184,133908,44,558,17.88
182140,133602,63,528,17.15
181909,133515,66,522,17.31
181066,133122,73,500,17.21
181471,133304,73,501,17.5
180863,133220,74,511,17.1
182525,133710,65,475,17.63
181071,133232,61,487,16.92
179874,132958,66,479,17.82
180549,133227,66,496,17.58
180414,133086,64,493,16.29
181936,133562,62,497,16.13
179935,132987,62,542,17.63
181574,133242,65,566,18.1
179041,132655,62,544,18.03
180044,133096,65,528,17.26
179275,132836,67,511,17.5
181538,133333,90,556,17.74
179230,132740,70,493,17.23
177380,132243,73,467,16.97
175263,131558,62,576,18.11
184183,134693,67,413,17.32
178202,132635,68,640,18.03
182000,133871,72,779,18.42
183201,134138,74,784,18.31
181725,133553,72,709,18.25
183604,134090,72,624,17.47
184360,134234,75,674,17.58
182888,133719,70,706,18.23
182853,133694,71,639,18.41
182612,133608,66,623,19.36
179450,132754,66,647,17.45
180839,133177,66,671,18.13
179781,132819,69,676,17.86
180819,133378,72,752,18.06
178776,132755,74,771,16.96
176914,132270,73,752,17.77
178556,132857,69,708,18.08
178120,132778,76,703,18.25
183097,134165,71,742,17.91
179256,133119,75,735,18.62
177734,132672,55,699,17.81
174883,131762,70,733,17.72
175680,131820,78,702,17.74
177923,132660,74,688,18.55
176057,132147,81,783,18.02
177299,132546,74,725,18.35
176309,132304,74,744,18.06
176144,132065,70,816,18.48
177348,132426,76,837,18.75
179043,133006,53,802,18.09
179409,133094,81,831,17.97
179103,132820,71,883,18.81
180088,133269,82,869,18.15
180840,133333,72,873,18.65
184043,134317,70,905,18.7
184258,134284,70,852,18.9
